digits,Default,Karatsuba,Java
9,2.8800000000000004E-6,2.748E-6,3.3640000000000003E-6
14,3.0320000000000004E-6,3.001E-6,4.321000000000001E-6
21,4.136E-6,2.5812000000000003E-5,6.497000000000001E-6
32,4.522E-6,2.4794E-5,5.958E-6
48,1.6235E-5,6.249100000000001E-5,8.135000000000001E-6
72,9.686E-6,1.1268400000000001E-4,2.1979E-5
108,1.4363000000000001E-5,1.9678800000000001E-4,1.8198E-5
162,2.3126000000000002E-5,3.32673E-4,9.413000000000001E-6
243,1.86818E-4,7.25409E-4,8.0635E-5
365,9.18E-6,8.53827E-4,2.51194E-4
548,2.0684E-5,8.71517E-4,6.71143E-4
822,3.9719000000000004E-5,0.0014956960000000001,7.519200000000001E-5
1233,1.1326100000000001E-4,0.0037271540000000003,5.8531000000000006E-5
1850,2.12615E-4,0.0069448010000000004,2.6837300000000003E-4
2775,5.271130000000001E-4,0.006957938,7.68166E-4
4163,0.0013333490000000002,0.005383108,4.1724000000000004E-4
6245,0.002432689,0.013234803000000002,5.42046E-4
9368,0.007277951,0.021354401000000002,4.92081E-4
14052,0.016546977,0.034388159,0.001279703
21078,0.036571012,0.068628115,0.0017382550000000002
31617,0.06488255,0.11711526600000001,0.0028947630000000003
47426,0.142111606,0.24186663200000003,0.005847815
71139,0.319120907,0.419878964,0.010800796000000001
106709,0.7158725760000001,0.844842018,0.018229927
160064,1.649735522,1.690546832,0.034076972000000004
240096,3.7473083280000004,3.054217781,0.066800608
360144,8.254539091,6.049378894,0.10370857400000001
540216,17.125612264,10.510887846000001,0.212682756
