Size, Regular, Karatsuba, Java's BigInteger
1, 1.6866400000000001E-6, 5.90417E-7, 2.73389E-6
2, 3.6567700000000005E-7, 3.8213099999999997E-7, 3.4704500000000005E-7
3, 5.4614E-7, 4.56013E-7, 4.31849E-7
4, 3.69569E-7, 3.88745E-7, 3.2951600000000005E-7
5, 3.82975E-7, 4.16209E-7, 3.9593800000000003E-7
6, 5.22249E-7, 5.9654E-7, 2.10565E-7
7, 4.2454000000000007E-7, 6.62319E-7, 3.11784E-7
8, 3.3257100000000005E-7, 2.94451E-7, 3.06705E-7
9, 1.76177E-7, 2.04088E-7, 2.49036E-7
10, 6.372170000000001E-7, 3.3305000000000003E-7, 1.0703620000000002E-6
11, 3.52935E-7, 3.30019E-7, 4.5685500000000005E-7
12, 3.4542700000000007E-7, 3.14906E-7, 3.95105E-7
13, 2.67431E-7, 3.5012700000000005E-7, 4.99533E-7
14, 3.2714E-7, 3.86299E-7, 3.1371800000000003E-7
15, 2.6620800000000005E-7, 5.06725E-7, 2.9283999999999997E-7
16, 2.33095E-7, 2.7256E-7, 2.45123E-7
17, 2.2832900000000003E-7, 2.5162600000000003E-7, 2.27191E-7
18, 2.2703800000000002E-7, 2.63513E-7, 2.4796700000000004E-7
19, 4.7066000000000006E-7, 5.879003E-6, 2.47563E-7
20, 1.641891E-6, 2.147236E-6, 2.7320100000000007E-7
21, 3.6594500000000004E-7, 1.99959E-6, 1.28187E-7
22, 3.4515800000000005E-7, 1.7924900000000001E-6, 1.20763E-7
23, 3.3063900000000003E-7, 1.761718E-6, 1.85126E-7
24, 4.45945E-7, 2.5135880000000005E-6, 2.00213E-7
25, 2.49261E-7, 2.266795E-6, 2.03682E-7
26, 2.6177E-7, 2.7616190000000003E-6, 2.0245E-7
27, 3.19363E-7, 2.338285E-6, 1.55444E-7
28, 3.57479E-7, 3.023716E-6, 1.79654E-7
29, 3.40356E-7, 2.343364E-6, 1.95801E-7
30, 2.68207E-7, 2.789208E-6, 1.8982900000000003E-7
31, 4.0308800000000004E-7, 2.07307E-6, 3.16532E-7
32, 3.07693E-7, 3.729065E-6, 1.8650700000000002E-7
33, 2.41825E-7, 2.1367460000000002E-6, 1.55471E-7
34, 2.1356200000000002E-7, 1.521763E-6, 1.2765600000000001E-7
35, 2.1492400000000003E-7, 1.382254E-6, 9.719100000000001E-8
36, 3.02122E-7, 2.7518220000000002E-6, 1.2897100000000002E-7
37, 7.439120000000001E-7, 3.552999E-6, 1.18273E-7
38, 7.03619E-7, 4.466491E-6, 1.1143300000000002E-7
39, 4.6650100000000003E-7, 3.4613850000000002E-6, 1.76011E-7
40, 3.78096E-7, 3.4677730000000004E-6, 1.59462E-7
41, 3.6966699999999997E-7, 3.390513E-6, 1.3869900000000002E-7
42, 4.7530700000000006E-7, 3.53361E-6, 1.9758500000000003E-7
43, 5.354100000000001E-7, 6.40651E-6, 2.3641400000000002E-7
44, 5.516950000000001E-7, 5.660778000000001E-6, 1.81901E-7
45, 6.14415E-7, 6.142251000000001E-6, 2.3340300000000002E-7
46, 5.413540000000001E-7, 5.960773000000001E-6, 2.36956E-7
47, 5.086070000000001E-7, 5.347306E-6, 1.9708300000000002E-7
48, 4.7414200000000004E-7, 5.763384E-6, 1.8951E-7
49, 4.16376E-7, 4.8999330000000006E-6, 1.73659E-7
50, 4.27302E-7, 5.317163E-6, 2.6524E-7
51, 4.2401900000000003E-7, 6.033538E-6, 2.28325E-7
52, 4.1898200000000007E-7, 5.143952000000001E-6, 2.50867E-7
53, 4.3740300000000007E-7, 5.183647E-6, 2.80178E-7
54, 5.27457E-7, 6.710103E-6, 3.1692500000000004E-7
55, 9.345210000000001E-7, 8.269425E-6, 1.9600800000000002E-7
56, 7.40334E-7, 8.671173E-6, 1.24326E-7
57, 5.7301E-7, 4.626350000000001E-6, 1.57649E-7
58, 4.22667E-7, 1.1210744000000001E-5, 2.15144E-7
59, 5.51746E-7, 9.724664000000002E-6, 1.69738E-7
60, 7.30039E-7, 1.0131817E-5, 1.79778E-7
61, 5.726520000000001E-7, 9.353711E-6, 2.00898E-7
62, 5.297960000000001E-7, 8.713676E-6, 1.78775E-7
63, 6.55733E-7, 1.0341892E-5, 2.3751000000000001E-7
64, 6.23779E-7, 1.0371123000000001E-5, 2.50539E-7
65, 6.90189E-7, 1.0853751E-5, 2.73138E-7
66, 7.934560000000001E-7, 1.0835235000000002E-5, 2.6374300000000003E-7
67, 5.54982E-7, 1.0101156000000002E-5, 1.5847900000000003E-7
68, 5.829650000000001E-7, 8.896334000000001E-6, 1.72797E-7
69, 5.52189E-7, 1.0367244000000002E-5, 1.73974E-7
70, 5.32025E-7, 9.334986999999999E-6, 1.75553E-7
