size,Regular,Karatsuba,Java BigInt
15,0.0,0.0,0.0
23,0.0,0.0,0.0
35,0.0,0.0,0.0
53,0.0,3.0E-11,0.0
80,2.0000000000000002E-11,8.000000000000001E-11,0.0
120,2.0000000000000002E-11,8.000000000000001E-11,0.0
180,0.0,2.5E-10,0.0
270,5.000000000000001E-11,2.9E-10,4.0000000000000004E-11
405,2.0000000000000002E-11,4.6000000000000007E-10,1.4000000000000003E-10
608,4.0000000000000004E-11,1.3E-9,5.000000000000001E-11
912,7.000000000000002E-11,2.33E-9,9.0E-11
1368,1.6000000000000002E-10,5.1200000000000005E-9,7.000000000000002E-11
2052,3.5E-10,5.080000000000001E-9,3.8000000000000003E-10
3078,1.2800000000000001E-9,4.0999999999999995E-9,6.400000000000001E-10
4617,1.7400000000000002E-9,6.610000000000001E-9,2.6000000000000003E-10
6926,6.440000000000001E-9,1.527E-8,6.400000000000001E-10
10389,1.0640000000000001E-8,2.64E-8,5.0E-10
15584,2.373E-8,4.339E-8
