digits,Default,Karatsuba,Java
15,1.2E-12,2.8E-12,3.8E-12
23,1.6000000000000003E-12,2.5000000000000004E-11,2.8E-12
35,7.400000000000002E-12,2.42E-11,2.0000000000000003E-13
53,6.0E-13,3.72E-11,4.000000000000001E-12
80,7.000000000000001E-12,3.1600000000000006E-11,4.0000000000000006E-13
120,1.8E-12,6.12E-11,2.0000000000000003E-13
180,4.6000000000000006E-12,1.382E-10,8.000000000000001E-13
270,1.0000000000000001E-11,1.2620000000000001E-10,2.6000000000000002E-12
405,1.7200000000000003E-11,4.2300000000000004E-10,4.6000000000000006E-12
608,3.4000000000000005E-11,5.09E-10,4.400000000000001E-12
912,9.78E-11,5.284000000000001E-10,4.72E-11
1368,1.9980000000000002E-10,1.0084E-9,8.000000000000001E-11
2052,4.0860000000000007E-10,1.6490000000000002E-9,4.0000000000000004E-11
3078,9.6E-10,3.2742E-9,1.17E-10
4617,3.2138000000000002E-9,8.489400000000001E-9,2.284E-10
6926,6.3789999999999996E-9,1.5572800000000002E-8,4.2720000000000003E-10
10389,1.42534E-8,3.487440000000001E-8,9.128E-10
15584,3.0726800000000004E-8,5.63316E-8,1.2656E-9
23376,6.884520000000002E-8,1.143574E-7,2.3884E-9
35064,1.5980860000000003E-7,2.005118E-7,3.9456E-9
52596,3.462494E-7,3.906494E-7,7.6478E-9
